job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,Posted_as_on_22_5_2022
Sr Business Analyst,ServiceNow,4.1,(36 Reviews),3-7 Yrs,Not disclosed,Hyderabad/Secunderabad,Willingness to assist wherever help is needed and is proactive in looking for ways to h...,"Microsoft Excel
PowerPoint
Process audit
Data analysis
Excel
Sales
Business Analyst
Data Processor",30+ DAYS AGO
Embedded Software Engineer,Cyient,3.7,(2645 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,Job Description: Very strong experience as a SW programmer in Embedded C. Good understa...,"GSM
Wireless
Embedded C
Linux
ISO
UML
Testing tools
Debugging",30+ DAYS AGO
Senior Data Analyst,Bewakoof.com,3.9,(60 Reviews),2-4 Yrs,Not disclosed,Mumbai,Senior Data Analyst,"Accessories
Data analysis
Google Analytics
Web analytics
Machine learning
Predictive modeling
Data Analyst
Reporting tools",30+ DAYS AGO
Senior Software Engineer ( Big Data ),Orange Business Services,4.3,(766 Reviews),3-7 Yrs,Not disclosed,Gurgaon/Gurugram,"Experience with at least one data cloud service provider, Azure, AWS or GCPExperience h...","Java
Big Data
Spark
Unix
Hadoop
Kafka
SQL
Hive",30+ DAYS AGO
Digital Engineering Lead Consultant,NTT DATA,4.0,(7283 Reviews),6-9 Yrs,Not disclosed,Bangalore/Bengaluru,Responsibilities: Design and implement solutions leveraging AEM Sites Develop digital c...,"Web analytics
digital asset management
devops
Cloud
Javascript
CMS
Agile
Software development life cycle",3 DAYS AGO
Business Development Manager,RxLogix Corporation,3.3,(30 Reviews),4-9 Yrs,Not disclosed,Noida,Preferably an established network in the Drug Safety / Pharmacovigilance domain Minimum...,"RxLogix
Relationship management
Sales
Networking
Software sales
Life sciences
Sales process
Pharmacovigilance",17 DAYS AGO
Electrical Engineer,KD Group of Industries,2.9,(2 Reviews),2-3 Yrs,Not disclosed,Gurgaon,"1) Strengthen sales through relationship management, technical sales support and collab...","sales
Technical Support
relationship management
Client Management
Technical sales
Database
Representative
Japanese",30+ DAYS AGO
IT Business Analyst - R&D IT PCA DDM,NXP Semiconductors,3.8,(115 Reviews),4-8 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru","Must possess excellent English communication skills, both oral and written Must have Ex...","Unix
Computer science
Automation
Linux
Data management
Business Analyst
Configuration management
Analytical",11 DAYS AGO
Unix Shellscripting Developer - Thirdware ( Tech Mahindra),Thirdware Solution Limited,4.3,(107 Reviews),4-9 Yrs,Not disclosed,Chennai,"Thirdware is acquired by TechM, Kindly follow the link to have an insight: https://www....","Unix
Bash Scripting
Unix Shell Scripting
Linux Shell Scripting
maven
CI / CD
gradle
analytical",4 DAYS AGO
Network Infrastructure Advanced Application Engineer,Accenture,4.1,(26528 Reviews),6-8 Yrs,Not disclosed,Pune,Project Role : Advanced Application Engineer Project Role Description : Utilize modular...,"WAN
Agile
Application development
CCNA
Troubleshooting
VRF Lite
OSFP
Written",25 DAYS AGO
Professional 2 Security Compliance,DXC Technology,3.8,(5855 Reviews),8-12 Yrs,Not disclosed,Bangalore/Bengaluru,"Essential Job Functions Administers access control processes which may include badging,...","Computer science
Access control
Administration
Compliance
Information security
Analytical
Security systems
Management",30+ DAYS AGO
Team Lead Process Excellence,MattsenKumar Services Pvt. Ltd,3.8,(328 Reviews),4-6 Yrs,"5,00,000 - 7,00,000 PA.",Gurgaon/Gurugram,Green belt six sigma would be preferred (trained or certified) Experience as a Quality ...,"Six Sigma Green Belt
BPO
process improvement
process excellence
Client servicing
quality improvement
Data Analysis
Business Excellence",19 DAYS AGO
Senior Software Engineer,Wells Fargo,4.2,(2683 Reviews),7-12 Yrs,Not disclosed,Serilingampalle,"About the RoleOur goal is to deliver rapid, value-driven customer solutions for Sales p...","Microsoft Dynamics CRM
IT Skills
DevOps
HTML
Javascript
.Net
Azure
Dynamics 365",17 DAYS AGO
Jr. Php Developer,Sifars,4.8,(44 Reviews),0-2 Yrs,Not disclosed,India,Job Description Jr. Php Developer We are looking for individuals who have at least a ba...,"IT Skills
PHP
Manager Technology",30+ DAYS AGO
Software Engineer,IHS Markit,4.1,(435 Reviews),2-5 Yrs,Not disclosed,Gurgaon/Gurugram,We are looking for a Sr. Salesforce Developer. The successful candidate will be as an i...,"Change management
Manager Quality Assurance
SAP
Contract management
Consulting
Javascript
HTML
Analytics",30+ DAYS AGO
Data Analyst,Exavalu Inc.,4.4,(6 Reviews),4-9 Yrs,Not disclosed,United States (USA),Bachelors Degree and 3 years of previous related experience in data management Join our...,"Data Quality
Data Analysis
Data Governance",24 DAYS AGO
Multimedia & Graphic Design Engineer,Quest Informatics Private Limited,3.7,(32 Reviews),1-2 Yrs,Not disclosed,Bengaluru,Be flexible to make changes as required by the client or individual project objectives ...,"Corel Draw
Adobe Illustration
CSS
communication
Adobe Frame Maker
Java
Adobe after Effects
Microsoft suite",30+ DAYS AGO
Pega RPA Developers,AgreeYa,3.4,(108 Reviews),4-9 Yrs,Not disclosed,Noida,"Good understating of PRPC flows, interpretation of flow shapes, SLAs, tickets, interpre...","Studio
Pega
Pega RPA
Pega Robotics
IT Skills
RPA
Business process
PRPC",30+ DAYS AGO
Immediate Job Opening _ Sr. Software Engineer _ Bangalore,Makonis software Solutions Private Limited,4.3,(8 Reviews),8-13 Yrs,Not disclosed,Bangalore/Bengaluru,Required Skills:Five (5) or more years experience in Core Java Programming/Designing.Mi...,"cloud
spring
java
Multithreading
IT Skills
Software Development
Testing",TODAY
Virtusa Hiring For Java Developer (Java with SpringBoot) -,Virtusa,3.8,(1647 Reviews),2-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",2 years to 9 years of experience required as a Java Developer2+ years of experience in ...,"Java
Spring Boot
SpringBoot
Rest
API",8 DAYS AGO
Senior Software Engineer,NUANCE INDIA PVT LTD,4.4,(74 Reviews),5-7 Yrs,Not disclosed,Bangalore/Bengaluru,The candidate must be a team have proven experience working in both team and multi-team...,"Speech Recognition
NMS
Microsoft Azure
WireShark
Ios / Android
IT Skills
Software Development
Artificial Intelligence",30+ DAYS AGO
Junior Software Developer (PHP/iPhone/Testing/Android ),CodeFire Technologies Pvt. Ltd.,4.9,(10 Reviews),2-7 Yrs,Not disclosed,Noida,Candidate Profile: -Candidate should be B Tech/ B E/ MCA(2017 Passout) with good academ...,"C++
analytical
Mysql
Java
OOps
Web Technologies
Testing
Android",30+ DAYS AGO
Associate II Software Engineer,IHS Markit,4.1,(435 Reviews),5-7 Yrs,Not disclosed,Gurgaon/Gurugram,Position summary We are looking for a developer to join Dev team to design and implemen...,"JMS
Tomcat
JBoss
XML
Weblogic
TIBCO
JDBC
J2Ee",30+ DAYS AGO
RF Engineer - RF Engineer,AgreeYa,3.4,(108 Reviews),7-10 Yrs,Not disclosed,Pune,Perform network design/optimization activities under technical supervision. Responsibil...,"IPv6
Netbrain
MX
IPv4
Ansible
ASR9K
Nexus
troubleshooting",30+ DAYS AGO
